All_num_layers,Classifier_hidden,Classifier_num_layers,GPR,HCHA_symdegnorm,HNHN_alpha,HNHN_beta,HNHN_nonlinear_inbetween,HyperGCN_fast,HyperGCN_mediators,LearnMask,MLP_hidden,MLP_num_layers,PMA,T,UniGNN_degE,UniGNN_degV,UniGNN_use_norm,acc_drop%,add_self_loop,adv_test,adv_train,adv_val,aggregate,alpha,attack,beta,clean_test,clean_train,clean_val,cuda,dataset,deepset_input_norm,deg_shift_l1,deg_shift_l2,deg_shift_linf,display_step,dname,dropout,edge_card_shift_l1,edge_card_shift_l2,edge_card_shift_linf,embedding_shift,epochs,epsilon,eta_H,eta_X,exclude_self,exec_time,feature_noise,gamma,h_l0,heads,laplacian_norm,lr,method,model,normalization,normtype,num_classes,num_edges,num_edges_perturbed,num_epochs_sur,num_features,num_vertices,output_heads,patience,perturb_prop,perturb_type,ptb_rate,runs,seed,semantic_change,train_prop,valid_prop,wd,x_linf
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,0.19342359767891582,True,0.7621861152141802,0.9748892171344166,0.7932053175775481,mean,1.0,mla,1.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,0,co-cora,True,201.31402587890625,96.516845703125,96.13996887207031,-1,cora,0.5,203.24615478515625,10.892693519592285,1.5107049942016602,60.55238723754883,1000,0.0,0.01,0.01,False,37.775805711746216,0.0,2.0,488,1,2.739290475845337,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,3.675048355899415,True,0.7355982274741507,0.9734121122599705,0.7651403249630724,mean,0.0,mla,1.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,307.87603759765625,13.318453788757324,2.543091297149658,-1,cora,0.5,307.5298156738281,14.54820442199707,2.1758904457092285,83.40222930908203,1000,0.0,0.01,0.01,False,37.5699143409729,0.0,2.0,1043,1,4.593011856079102,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,0.19342359767891582,True,0.7621861152141802,0.9763663220088626,0.7902511078286559,mean,1.0,mla,0.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,0,co-cora,True,443.46826171875,317.6753845214844,317.53314208984375,-1,cora,0.5,445.400390625,16.87944984436035,1.5107049942016602,66.35750579833984,1000,0.0,0.01,0.01,False,37.485015869140625,0.0,2.0,921,1,3.232541561126709,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,4.061895551257247,True,0.7326440177252586,0.9719350073855244,0.7695716395864107,mean,0.0,mla,0.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,563.3729248046875,218.95623779296875,218.35992431640625,-1,cora,0.5,563.3994750976562,21.364906311035156,2.464193344116211,101.73363494873047,1000,0.0,0.01,0.01,False,37.47161245346069,0.0,2.0,1171,1,4.435248851776123,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,3.923444976076556,True,0.741506646971935,0.9793205317577549,0.7341211225997046,mean,0.0,mla,1.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,312.3288269042969,13.506526947021484,2.8899998664855957,-1,cora,0.5,312.328857421875,14.449505805969238,1.993701457977295,76.56886291503906,1000,0.0,0.01,0.01,False,37.472050189971924,0.0,2.0,1096,1,4.611507415771484,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.2440191387559816,True,0.7621861152141802,0.9748892171344166,0.7533234859675038,mean,1.0,mla,1.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,0,co-cora,True,229.7564697265625,82.55705261230469,69.1199722290039,-1,cora,0.5,231.68988037109375,11.707215309143066,1.511265754699707,50.83871841430664,1000,0.0,0.01,0.01,False,37.53543210029602,0.0,2.0,551,1,2.7344300746917725,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,6.028708133971282,True,0.7252584933530282,0.9675036927621862,0.7252584933530282,mean,0.0,mla,0.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,581.7430419921875,230.36245727539062,229.7899169921875,-1,cora,0.5,582.7498779296875,21.612388610839844,1.980804443359375,96.32769775390625,1000,0.0,0.01,0.01,False,37.467212438583374,0.0,2.0,1211,1,4.46783447265625,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.9138755980861142,True,0.757016248153619,0.9689807976366323,0.740029542097489,mean,1.0,mla,0.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,0,co-cora,True,377.4213562011719,238.81089782714844,238.61990356445312,-1,cora,0.5,379.234619140625,15.350531578063965,1.511265754699707,56.07102584838867,1000,0.0,0.01,0.01,False,37.4612033367157,0.0,2.0,786,1,3.061511754989624,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,3.2755298651252382,True,0.741506646971935,0.9748892171344166,0.7459379615952734,mean,0.0,mla,1.0,0.7666174298375185,0.9778434268833088,0.7828655834564254,1,co-cora,True,327.37548828125,13.833786010742188,2.719999313354492,-1,cora,0.5,328.2558898925781,14.800355911254883,1.9928207397460938,79.44609069824219,1000,0.0,0.01,0.01,False,37.557626724243164,0.0,2.0,1113,1,4.65640115737915,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,13,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,0.2890173410404537,True,0.7644017725258494,0.9763663220088626,0.7725258493353029,mean,1.0,mla,1.0,0.7666174298375185,0.9778434268833088,0.7828655834564254,0,co-cora,True,203.38507080078125,119.06011199951172,118.84996032714844,-1,cora,0.5,203.3850555419922,10.5365629196167,1.3106231689453125,45.5885124206543,1000,0.0,0.01,0.01,False,37.56063628196716,0.0,2.0,503,1,2.7057530879974365,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,13,0.0,0.25,0.25,0.0,0.0
